id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,#country+code,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
29691,ETH-2011-1-54-6,2011,1,Clear,1,329,329,Ethiopia: Ogaden,719,719,Government of Ethiopia - ONLF,97,97,Government of Ethiopia,497,497,ONLF,-1,"BBC Monitoring Newsfile 22/6-11, ""Ethiopian agents reportedly kill Ogadeni rebel leader in Kenya"" from Ogaden Online, in English 21 Jun 11",,,,ONLF,1,Nairobi city,Nairobi,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,KEN,501,Africa,1,1,2011-06-20 00:00:00.000,2011-06-20 00:00:00.000,0,1,0,0,1,1,1,530,
25578,SOM-2007-1-632-65,2007,1,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,BBC 3/17/2007,,,,"HornAfrik Online text website, Mogadishu, in Somali 17 Mar 07",1,Mandera town,Mandera town,North Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,KEN,501,Africa,1,1,2007-03-16 00:00:00.000,2007-03-16 00:00:00.000,1,0,0,0,1,1,1,520,
30830,SOM-2011-1-770-186,2011,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"All Africa 25 November 2011 ""Al-Shabaab Landmine Kills One KDF Soldier",,,,,1,Mandera town,Mandera,North Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,KEN,501,Africa,1,1,2011-11-24 00:00:00.000,2011-11-24 00:00:00.000,1,0,0,0,1,1,1,520,
31463,SOM-2012-1-770-417,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"The Star 2012-01-02 through BBC ""Kenyan police kill three suspected Al-Shabab militants",,,,Lamu East OCPD [Officer Commanding Police Division] Samuel Obara,2,Boni forest (Lamu district),"Boni forests, Mkokoni area near Kiunga in Lamu",Coast province,Lamu district,-1.717327,41.334830,POINT (41.33483 -1.717327),127163,Kenya,KEN,501,Africa,1,1,2012-01-01 00:00:00.000,2012-01-01 00:00:00.000,0,3,0,0,3,3,3,520,
31446,SOM-2012-1-770-4,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"BBC Monitoring Africa 5 Jan 2012 ""Kenya: Fifteen Al-Shabab militants said surrender to Somali forces",,,,"The Standard, Nairobi, in English 5 Jan 12",7,Waters off Kiunga,"Kiunga (coastal border btw Somalia and Kenya)

Since the Al-Shabaab fighters were killed on a boat, this event should have prec. 7, at sea (sam)",Coast province,Lamu district,-1.750000,41.500000,POINT (41.5 -1.75),127164,Kenya,KEN,501,Africa,1,2,2012-01-02 00:00:00.000,2012-01-04 00:00:00.000,0,2,0,0,2,2,2,520,
31189,SOM-2012-1-770-13,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Reuters 12 Jan 2012 ""UPDATE 2-Al Shabaab attack Kenyan police camp, kill 7",,,,,4,North Eastern province,"Gerille, a town 7 km (4 miles) from the porous frontier with Somalia",North Eastern province,,-1.116667,40.600000,POINT (40.6 -1.116667),127882,Kenya,KEN,501,Africa,1,1,2012-01-11 00:00:00.000,2012-01-11 00:00:00.000,2,0,1,4,7,7,7,520,
31464,SOM-2012-1-770-418,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"Agence France-Presse (AFP) 2012-02-19 ""Suspected Somali Islamists attack Kenyan police outpost",,,,police,1,Fafi town,Fafi in Garissa district,North Eastern province,Garissa district,-0.390187,40.325158,POINT (40.325158 -0.390187),129321,Kenya,KEN,501,Africa,1,1,2012-02-17 00:00:00.000,2012-02-17 00:00:00.000,1,0,0,0,1,1,1,520,
31442,SOM-2012-1-770-392,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,Africa Research Bulletin vol 49(2): pp. 19152-19153,,,,AFP 19/2,1,Fafi town,Fafi locality (Garissa district),North Eastern province,Garissa district,-0.390187,40.325158,POINT (40.325158 -0.390187),129321,Kenya,KEN,501,Africa,1,2,2012-02-17 00:00:00.000,2012-02-19 00:00:00.000,0,0,0,1,1,1,1,520,
31488,SOM-2012-1-770-62,2012,1,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"BBC Monitoring Africa 20 Feb 2012 ""Programme summary of Somalia's Radio Shabeelle news 0500 gmt 20 Feb 12",,,,"Radio Shabeelle, Mogadishu in Somali 0500 gmt 20 Feb 12",1,Garissa town,Garissa town,North Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,KEN,501,Africa,1,2,2012-02-18 00:00:00.000,2012-02-20 00:00:00.000,1,0,0,0,1,1,1,520,
